"text","twitterUrl","tweet_id","cleaned_text","sentiment"
"@madras_aale @VikAdiRathore7 @AgentSaffron Avane thaan","https://twitter.com/cleanbowled670/status/1804741252849578142",1594,"madrasaale vikadirathore agentsaffron avane thaan",NA
"@TexasSuperKings Can’t wait to see him at Texas 💪","https://twitter.com/newbatsman/status/1804738744693473538",1595,"texassuperkings can’t wait see texas 💪",NA
"Indian beats Australia Bangladesh beats Afghanistan by big margin Bangladesh goes to semi finals 😃😃😃!! #T20WorldCup #AUSvAFG","https://twitter.com/newbatsman/status/1804728867673813487",1596,"indian beats australia bangladesh beats afghanistan big margin bangladesh goes semi finals 😃😃😃 tworldcup ausvafg",1
"This is the best and biggest achievement for Afghan cricket. They’ve put lot of effort since couple of years and now ’s paying off - believe me this is JUST the START - ’t get surprised if they goto finals in future!! UNBELIEVABLE characters ❤️! #T20WorldCup @ACBofficials","https://twitter.com/newbatsman/status/1804727968905724222",1597," best biggest achievement afghan cricket ’ve put lot effort since couple years now ’s paying believe just start ’t get surprised goto finals future unbelievable characters ❤️ tworldcup acbofficials",2
"Glad he is not there today!! #T20WorldCup ","https://twitter.com/newbatsman/status/1804726900666794376",1598,"glad today tworldcup ",3
"This is like WINNING WC for @ACBofficials 👏!! Very well deserved 💪","https://twitter.com/newbatsman/status/1804725859644842364",1599," like winning wc acbofficials 👏 well deserved 💪",6
"Happy to see Cummins getting OUT to the SLOWEST BALL EVER!!","https://twitter.com/newbatsman/status/1804721983638098190",1600,"happy see cummins getting slowest ball ever",3
"DJ Bravo enjoying bowlers taking wickets- ’ve seen this before!! #WhistlePodu #T20WorldCup ","https://twitter.com/newbatsman/status/1804721855737074105",1601,"dj bravo enjoying bowlers taking wickets ’ve seen whistlepodu tworldcup ",2
"Someone please tell me how come Mathew Wade is even in Australia squad? I can’t imagine man. #AUSvAFG #T20WorldCup","https://twitter.com/newbatsman/status/1804720175633080570",1602,"someone please tell come mathew wade even australia squad can’t imagine man ausvafg tworldcup",1
"@Imranmuhdz @woye1 VP need to repeat his message in Hausa again","https://twitter.com/MalanBoda/status/1805704339459113228",1603,"imranmuhdz woye vp need repeat message hausa ",NA
"@Bin__Adam Full video please YouTube link or something Koma yanzu akan mai yakamata ache mu dora munafar mu kenan Allah ya saka wa malan da alkeri tabbas yayi gaskiya","https://twitter.com/adumansr/status/1805666449270153411",1604,"binadam full video please youtube link something koma yanzu akan mai yakamata ache mu dora munafar mu kenan allah ya saka wa malan da alkeri tabbas yayi gaskiya",-1
"@jj40_ @keiaunduane yea idk😭","https://twitter.com/_malanrenee/status/1805611238870671722",1605,"jj keiaunduane yea idk😭",NA
"@amoremonaee_ like this what I b talm bout!","https://twitter.com/_malanrenee/status/1805611149531971963",1606,"amoremonaee like b talm bout",2
"@keiaunduane g she irritating fr!😭 this is twitter & twitter only.","https://twitter.com/_malanrenee/status/1805609877462528019",1607,"keiaunduane g irritating fr😭 twitter twitter ",-3
